mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
MSTRG.6030.1	523	243	0.9669	-0.00422467834084	0.151748251242073
MSTRG.6031.1	2853	210	0.6784	-0.105995396425	0.0489784244792145
MSTRG.6032.1	25056	456	1.1646	-0.28734891094	0.175524438692336
MSTRG.6036.1	5729	195	0.9752	-0.470852921321	0.0166042429089603
MSTRG.6039.1	36564	459	0.6533	-0.304125281143	0.0565897578536873
MSTRG.6037.1	607	105	0.779	-0.0958603304237	0.0309822645986128
MSTRG.6038.1	537	204	0.6818	-0.224433055146	0.0312722459025393
MSTRG.6040.1	1314	225	1.2075	0.0139117113209	0.206242171669082
MSTRG.6041.1	5685	162	0.8169	0.00590136955638	0.065152941337335
MSTRG.6042.1	1167	177	0.664	-0.177595131117	0.0297588158941591
MSTRG.6043.1	236	48	1.0301	-0.043494121046	0.0405256010782837
MSTRG.6044.1	3765	117	0.3596	-0.346986909875	0.00528931403463332
MSTRG.6045.1	313	207	0.7268	-0.0314104155701	0.0735423431564005
MSTRG.6046.1	1519	126	0.5806	-0.324542941759	0.00978980388258147
MSTRG.6047.1	724	180	0.8738	0.0399029833844	0.102201022786559
MSTRG.6048.1	3050	204	1.1372	-0.130349657479	0.0944574609444606
MSTRG.6049.1	17669	318	0.9683	-0.422870815261	0.0359374557226248
MSTRG.6050.1	2205	159	0.6715	-0.13163578332	0.0311676001366859
MSTRG.6051.1	18341	384	0.4264	-0.452451758258	0.0187518897759427
MSTRG.6052.1	7944	246	0.6842	-0.410870240799	0.0169396088033332
MSTRG.6053.1	7754	252	0.8321	-0.301720224041	0.035847929653856
MSTRG.6054.1	3016	291	0.6623	-0.346499011291	0.0323365684702726
MSTRG.6056.1	13908	294	0.4564	-0.375496192435	0.015781659695079
MSTRG.6055.1	241	72	0.7235	-0.174029088667	0.0163786180127255
MSTRG.6057.1	1696	156	0.8997	-0.0510664703451	0.0634073104721977
MSTRG.6058.1	216	132	0.7699	-0.0905405128806	0.0379037333195631
MSTRG.6059.1	1862	246	0.5666	-0.150690522707	0.0441980867874455
MSTRG.6060.1	795	123	0.6321	-0.268214562236	0.013450020317427
MSTRG.6061.1	4398	369	0.5976	-0.054200963695	0.142660885629105
MSTRG.6062.1	18592	291	0.8971	-0.269214610973	0.0469774544411193
MSTRG.6063.1	249	123	0.9481	-0.095101951495	0.0480153609699362
MSTRG.6064.1	204	159	0.5647	-0.273757618918	0.0152224300848483
MSTRG.6065.1	3092	198	0.8888	-0.0767538492445	0.0725949704936469
MSTRG.6066.1	21697	327	0.7218	-0.212157062828	0.0513945329158
MSTRG.6067.1	66560	357	0.8658	-0.529401152255	0.00835557371398629
MSTRG.6068.1	14112	279	0.3685	-0.29863525065	0.0163790989695501
MSTRG.6069.1	5406	453	0.8604	-0.197901463769	0.212566179297379
MSTRG.6070.1	330	75	0.9339	-0.0946460826308	0.0335741313564335
MSTRG.6072.1	16552	354	0.6166	-0.0693083193435	0.0986767744298994
MSTRG.6072.2	39383	582	0.4558	-0.286931833762	0.0920438169316015
MSTRG.6073.1	40349	513	0.5436	-0.0796739204609	0.142001110002103
MSTRG.6071.1	689	156	0.7277	-0.456353257044	0.00950832086084422
MSTRG.6074.1	41672	318	0.5848	-0.316038534851	0.0158810229571241
MSTRG.6075.1	2110	147	1.0122	0.111586050561	0.130895635930553
MSTRG.6076.1	1768	222	0.6902	-0.158036146323	0.0454323350872423
MSTRG.6077.1	1746	252	0.6463	-0.177612899018	0.0478927958476888
MSTRG.6078.1	46138	399	0.5873	-0.392192875919	0.0188325880283468
MSTRG.6080.1	25910	228	1.0344	-0.121852495364	0.0585384525424077
MSTRG.6079.1	214	84	0.4468	-0.570116678633	0.00214593068370281
MSTRG.6081.1	297	153	0.8154	-0.0510364673909	0.0552901036044221
MSTRG.6082.1	3640	342	0.6788	-0.346575381722	0.0467590921810633
MSTRG.6083.1	403	87	0.9948	-0.208721871279	0.0258790783988201
MSTRG.6084.1	1228	237	0.4878	0.0874188375907	0.09136861145918
MSTRG.6085.1	599	120	0.5121	-0.404018733359	0.00611602830908013
MSTRG.6086.1	2495	222	0.7066	-0.171100601701	0.0437329615450901
MSTRG.6087.1	396	75	0.9881	0.0581614069769	0.066867238723781
MSTRG.6088.1	771	138	0.5151	-0.119311777051	0.0219836804418314
MSTRG.6089.1	6832	246	0.867	-0.0914184320456	0.0840158695372747
MSTRG.6090.1	279	108	0.8278	-0.281762309145	0.0165796203701283
MSTRG.6092.1	4227	363	0.5181	-0.0557115871854	0.120607402608188
MSTRG.6093.1	830	81	0.7732	-0.344435475024	0.00948645458586544
MSTRG.6091.1	271	201	0.8542	-0.143520254409	0.0574726471534483
MSTRG.6094.1	7977	306	0.4996	-0.326727020276	0.0258792557793644
MSTRG.6095.1	3279	306	0.5367	-0.103588560963	0.0733029180568608
MSTRG.6096.1	262	90	0.9416	-0.0323083001747	0.0482996281146598
MSTRG.6097.1	1496	216	0.4916	-0.238851708904	0.022275609351339
MSTRG.6098.1	4469	240	0.6373	-0.171886951621	0.0417560674634541
MSTRG.6099.1	32519	333	0.4378	-0.468744803596	0.00899329748288324
MSTRG.6101.1	134743	468	0.5312	-0.182284225242	0.00839595086265669
MSTRG.6100.1	442	408	1.1479	0.465365131716	0.849177781394485
MSTRG.6102.1	26231	447	0.6366	-0.140281721928	0.117116582406337
MSTRG.6102.2	26072	447	0.6366	-0.140281721928	0.11750125990943
MSTRG.6108.1	117367	2274	0.841	0.204755591665	0.999980117792841
MSTRG.6103.1	263	111	0.8653	0.0461402372217	0.0659602409167254
MSTRG.6104.1	1135	150	0.8126	0.0199602167437	0.0694965164550925
MSTRG.6106.1	3218	339	0.6186	-0.296142665698	0.0505745116533424
MSTRG.6106.2	4561	546	0.8667	0.0870961633146	0.636051660988944
MSTRG.6106.3	456	150	0.8699	-0.23580489605	0.0288122270285001
MSTRG.6105.1	1335	252	0.6981	-0.293536487216	0.0336429395347998
MSTRG.6107.1	793	123	0.948	0.0201600694043	0.073872286590761
MSTRG.6109.1	12234	294	0.3901	-0.153305612446	0.0352719320597081
MSTRG.6114.1	27774	387	0.8854	0.0947969345391	0.256310912117003
MSTRG.6114.2	36659	375	0.5407	-0.281337578713	0.0282418269656334
MSTRG.6114.3	43854	378	0.6833	0.0382827362466	0.10785950024919
MSTRG.6114.4	29044	363	0.969	-0.0444213698962	0.156854801674562
MSTRG.6114.5	14155	363	0.969	-0.0444213698962	0.208508125678292
MSTRG.6112.1	9409	531	0.8503	0.250835290131	0.726254210567386
MSTRG.6110.1	4005	285	1.1961	-0.245377012914	0.113153427034917
MSTRG.6111.1	6844	558	0.6109	-0.0908362446843	0.351676985164134
MSTRG.6113.1	6234	231	0.7412	-0.181674419259	0.0436787098572185
MSTRG.6113.2	5914	228	0.4203	-0.389042309671	0.0105083672417787
MSTRG.6115.1	149704	711	0.5451	-0.141100057703	0.0401816703151002
MSTRG.6115.2	149331	711	0.5451	-0.141100057703	0.0405191341103353
MSTRG.6115.3	137657	711	0.5451	-0.141100057703	0.0525574949256514
MSTRG.6116.1	28954	459	0.4575	-0.381371594185	0.0350322394117336
MSTRG.6117.1	14043	429	0.7169	-0.112092151282	0.167903592552406
MSTRG.6118.1	31954	459	0.8782	-0.253902780123	0.110821940729546
MSTRG.6119.1	13153	210	0.4471	-0.529357770029	0.0046423067265258
MSTRG.6120.1	37648	435	0.4251	-0.345275514449	0.0264723156994504
MSTRG.6121.1	11679	303	0.4449	-0.397706900897	0.015856877613619
MSTRG.6122.1	2545	384	0.5821	-0.186011908731	0.0988953127595922
MSTRG.6123.1	7908	378	0.4572	-0.256178976615	0.0522861097074388
MSTRG.6124.1	7992	243	0.5766	-0.542387258377	0.00798952493691492
MSTRG.6125.1	17231	354	0.683	-0.158045712683	0.0781900723993187
MSTRG.6126.1	19187	489	1.2884	0.609898528629	0.938597545553715
MSTRG.6128.1	54294	450	0.7128	-0.102104329327	0.0865696695982894
MSTRG.6127.1	6999	312	1.0867	0.283746397115	0.506457402770801
MSTRG.6133.1	29634	414	0.6395	-0.0281591452136	0.133095164223342
MSTRG.6134.1	33050	480	1.1348	0.33459076335	0.716432052026223
MSTRG.6134.2	17610	480	1.1348	0.33459076335	0.783737742398969
MSTRG.6129.1	5694	459	0.7117	-0.581712459417	0.0423418736456573
MSTRG.6130.1	2946	114	0.8017	-0.628200876892	0.00380800496210594
MSTRG.6131.1	4006	180	0.7184	-0.177518374466	0.0314433535365017
MSTRG.6132.1	218	123	0.6636	-0.141640132601	0.0239938918114834
MSTRG.6135.1	678	378	0.4848	-0.191916509583	0.0820865628093252
MSTRG.6136.1	4001	270	0.9158	0.00413517834809	0.158660431469065
MSTRG.6137.1	346	87	0.8392	-0.651981453319	0.00324168714207212
MSTRG.6138.1	7605	336	0.6205	-0.106995415318	0.0928185982757134
MSTRG.6139.1	5114	354	0.5027	-0.10198629328	0.0919381253548255
MSTRG.6152.1	265421	7479	0.5758	-0.219229496493	1
MSTRG.6152.2	264346	7479	0.5758	-0.219229496493	1
MSTRG.6152.3	234311	7479	0.5758	-0.219229496493	1
MSTRG.6152.4	258753	7479	0.5758	-0.219229496493	1
MSTRG.6152.5	258485	7479	0.5758	-0.219229496493	1
MSTRG.6152.7	34372	483	0.5662	-0.369867963951	0.0465287787474237
MSTRG.6152.6	258885	7479	0.5758	-0.219229496493	1
MSTRG.6152.8	179043	7479	0.5758	-0.219229496493	1
MSTRG.6153.1	8927	258	0.8592	-0.280960120681	0.0414555022481706
MSTRG.6153.2	12358	390	0.9904	0.150388776426	0.4351589897313
MSTRG.6152.9	119086	741	0.6249	-0.0368361686532	0.158855014637149
MSTRG.6152.10	75690	741	0.6249	-0.0368361686532	0.342350388878315
MSTRG.6152.11	679	261	0.4865	-0.190418662723	0.0373492693056353
MSTRG.6152.12	37645	510	0.6069	-0.309599593422	0.0704648252975769
MSTRG.6140.1	10065	315	0.6838	-0.23744084914	0.0519403335623996
MSTRG.6141.1	5989	255	0.7348	-0.241430061601	0.040561430332825
MSTRG.6142.1	738	438	0.7285	0.217787833799	0.536322503063736
MSTRG.6143.1	2985	282	0.4747	-0.152646424691	0.0465648228748912
MSTRG.6151.1	57637	5004	1.1783	0.369987246094	1
MSTRG.6151.2	57428	5004	1.1783	0.369987246094	1
MSTRG.6151.3	36112	5004	1.1783	0.369987246094	1
MSTRG.6151.4	41625	5001	1.1783	0.372130815989	1
MSTRG.6154.1	54855	501	0.8591	-0.320513533277	0.0677219043174492
MSTRG.6154.2	54598	501	0.8591	-0.320513533277	0.0681020022057133
MSTRG.6154.4	54487	501	0.8591	-0.320513533277	0.068266779724465
MSTRG.6154.3	54497	501	0.8591	-0.320513533277	0.0682519197720416
MSTRG.6154.5	32860	498	0.7702	-0.191012130504	0.146062122314922
MSTRG.6154.6	16457	498	0.7702	-0.191012130504	0.200595725122535
MSTRG.6155.1	29190	696	0.5732	-0.382317521398	0.197853262428817
MSTRG.6155.2	28968	696	0.5732	-0.382317521398	0.198677762006596
MSTRG.6155.3	17664	696	0.5732	-0.382317521398	0.244075416345332
MSTRG.6145.1	400	162	0.6825	0.159509909187	0.103207664757684
MSTRG.6146.1	297	261	1.3369	0.314408334379	0.59990164619043
MSTRG.6147.1	368	282	1.3009	0.664764812123	0.872185799938907
MSTRG.6148.1	2593	345	0.8012	-0.121406794874	0.139372473418811
MSTRG.6149.1	220	120	1.1205	-0.34763049831	0.0236641192856827
MSTRG.6144.1	1149	192	0.9049	0.158255586897	0.174420709863172
MSTRG.6150.1	789	612	1.1146	0.413395751958	0.948718607231363
MSTRG.6156.1	20791	309	0.4594	4.56584039571e-05	0.0663233688760221
MSTRG.6157.1	27553	396	0.4905	-0.245734042243	0.0422171651424535
MSTRG.6157.2	27118	396	0.4905	-0.245734042243	0.0426300483536604
MSTRG.6157.3	26172	396	0.4905	-0.245734042243	0.0435413074110892
MSTRG.6161.1	68848	372	0.689	-0.148661704061	0.0294893505099897
MSTRG.6161.2	41464	372	0.689	-0.148661704061	0.0544762489050211
MSTRG.6161.3	65399	372	0.689	-0.148661704061	0.0318852123473306
MSTRG.6161.4	32323	264	0.6106	-0.257835836834	0.0177768096874826
MSTRG.6161.5	31822	264	0.6106	-0.257835836834	0.0179823587082791
MSTRG.6162.1	33050	1041	0.7965	0.0222980522956	0.955605670956449
MSTRG.6163.1	333	207	1.0858	0.224244157989	0.305533642575695
MSTRG.6164.1	281	207	0.7754	0.184017957459	0.173417850951725
MSTRG.6158.1	268	153	0.9958	-0.325166920459	0.0260106194954832
MSTRG.6159.1	131	24	0.5834	0.561610053784	0.155518389888483
MSTRG.6160.1	32232	2259	1.2224	0.261489221736	0.999998817445707
MSTRG.6165.1	55144	423	0.7212	-0.192174858118	0.0509996216030978
MSTRG.6169.1	75414	462	0.6922	-0.233465076912	0.0342736291590504
MSTRG.6166.1	1397	249	1.0175	0.00166099955793	0.170808063541501
MSTRG.6167.1	340	312	1.0037	0.124143584296	0.34853638354504
MSTRG.6168.1	208	6	0.5841	-3.24602745082	2.80321687365787e-08
MSTRG.6171.1	23688	411	0.8141	-0.0752503044702	0.164597504207007
MSTRG.6170.1	8304	309	0.7106	-0.231497741302	0.0556016464128038
MSTRG.6172.1	118	0	0	0	0.0052411273251416
MSTRG.6174.1	56560	1791	0.5896	-0.277863236685	0.998203624687939
MSTRG.6174.2	39826	1791	0.5896	-0.277863236685	0.99878424230026
MSTRG.6174.3	37333	1791	0.5896	-0.277863236685	0.998852956114253
MSTRG.6175.1	157548	1167	1.1117	0.470394762932	0.970340611073574
MSTRG.6173.1	98347	552	0.8291	-0.180233622555	0.0599387166190207
MSTRG.6173.2	98223	552	0.8291	-0.180233622555	0.0601021720206784
MSTRG.6173.3	97986	552	0.8291	-0.180233622555	0.060415744159206
MSTRG.6173.4	97968	552	0.8291	-0.180233622555	0.0604396222107936
MSTRG.6179.1	93515	1062	0.5335	-0.103104454651	0.691301433352549
MSTRG.6180.1	1528	657	1.0876	-0.00259334749039	0.81370468365523
MSTRG.6176.1	219	123	0.8655	-0.184558792173	0.0291508759120468
MSTRG.6177.1	1154	102	1.2387	0.220326592102	0.209218134000763
MSTRG.6178.1	29136	396	0.6937	0.10089835361	0.203644030274461
MSTRG.6181.1	74304	780	0.521	0.0871157401861	0.49363412396268
MSTRG.6182.1	11066	312	0.8232	-0.0567237314695	0.124417301865416
MSTRG.6184.1	19309	396	0.4763	-0.466809904972	0.0206443213543206
MSTRG.6183.1	294	78	0.9979	-0.196123556078	0.0257501508540813
MSTRG.6185.1	5666	348	0.7315	-0.0759356725115	0.140109979652294
MSTRG.6186.1	23392	408	0.8677	0.0716077956115	0.281096101316325
MSTRG.6188.1	3754	246	0.5467	-0.205255075487	0.0329846650187856
MSTRG.6189.1	13970	276	0.6802	-0.0740133818196	0.0681463534239222
MSTRG.6187.1	227	57	0.7122	-0.43006461914	0.0051121958824742
MSTRG.6191.1	10108	303	0.6366	-0.0706341210173	0.0833474146516457
MSTRG.6190.1	244	213	0.7472	0.0185611971838	0.0956648693221893
MSTRG.6192.1	3600	264	0.4999	-0.174132067833	0.0389979192853077
MSTRG.6216.1	257518	714	0.5312	-0.360348464005	0.001368083335383
MSTRG.6216.2	257514	714	0.5312	-0.360348464005	0.0013682110258442
MSTRG.6216.3	421393	795	0.5375	-0.398821346884	4.61797231161663e-05
MSTRG.6216.4	246344	714	0.5312	-0.360348464005	0.00177549605499915
MSTRG.6216.5	421317	795	0.5375	-0.398821346884	4.62617943012846e-05
MSTRG.6216.6	378329	795	0.5375	-0.398821346884	0.000126297239664775
MSTRG.6216.7	378793	795	0.5375	-0.398821346884	0.000124935588716134
MSTRG.6216.8	293060	795	0.5375	-0.398821346884	0.000925305031817706
MSTRG.6216.9	292617	795	0.5375	-0.398821346884	0.000934923196156775
MSTRG.6216.10	91866	687	0.4916	-0.00841007226895	0.174776118170854
MSTRG.6216.11	250015	795	0.5375	-0.398821346884	0.00252565040860651
MSTRG.6216.12	250520	795	0.5375	-0.398821346884	0.00249609888960027
MSTRG.6216.13	293119	795	0.5375	-0.398821346884	0.000924031539376145
MSTRG.6216.14	257677	795	0.5375	-0.398821346884	0.00211254280937912
MSTRG.6216.15	117817	687	0.4916	-0.00841007226895	0.103540873618646
MSTRG.6216.16	274805	795	0.5375	-0.398821346884	0.00141679704159858
MSTRG.6216.17	245683	795	0.5375	-0.398821346884	0.00279391969296465
MSTRG.6216.18	281284	795	0.5375	-0.398821346884	0.00121800938021746
MSTRG.6216.19	219049	795	0.5375	-0.398821346884	0.00519310695139722
MSTRG.6216.20	46681	687	0.4916	-0.00841007226895	0.378383556772281
MSTRG.6217.1	278	51	1.2398	0.0415105816156	0.0826969311293513
MSTRG.6216.21	76812	795	0.5375	-0.398821346884	0.12654136915577
MSTRG.6216.22	27517	795	0.5375	-0.398821346884	0.314292183021506
MSTRG.6193.1	12605	501	1.158	0.311883856818	0.818523257462147
MSTRG.6193.2	10654	501	1.158	0.311883856818	0.825196468839528
MSTRG.6195.1	116051	621	0.6356	-0.0137094877943	0.0872752748320437
MSTRG.6195.2	56755	552	0.5695	-0.14588427596	0.106863518971547
MSTRG.6194.1	242	78	0.8089	0.030017271403	0.0448338027176193
MSTRG.6196.1	88719	1035	0.9362	0.121040200867	0.915966099588621
MSTRG.6197.1	4920	411	0.7467	-0.0582781580366	0.224112905562314
MSTRG.6196.2	7530	501	0.6044	-0.0413565108963	0.299679422743352
MSTRG.6198.1	110554	1560	0.9644	0.235659318549	0.997950750508289
MSTRG.6198.2	109597	1560	0.9644	0.235659318549	0.997995972472672
MSTRG.6199.1	843	828	1.2728	0.484696387919	0.993700547453801
MSTRG.6200.1	60786	627	0.6729	-0.116660666091	0.203531341887882
MSTRG.6204.1	63640	561	0.4874	-0.223754796815	0.0635562339505747
MSTRG.6204.2	34529	561	0.4874	-0.223754796815	0.118157543577937
MSTRG.6201.1	1592	240	0.5718	-0.0261548236466	0.0696535955392053
MSTRG.6202.1	9067	372	0.6127	0.0380204875423	0.186081773776928
MSTRG.6202.2	55666	3819	0.7533	-0.000622126047001	0.999999999815567
MSTRG.6203.1	4024	306	0.9371	0.202953885087	0.364359061268608
MSTRG.6203.2	804	99	0.6417	-0.425501060295	0.00609695906638043
MSTRG.6206.1	99961	369	0.4739	-0.127844910408	0.0103813668938895
MSTRG.6206.3	21153	327	1.0247	-0.140425047346	0.114440916148223
MSTRG.6206.2	99199	369	0.4739	-0.127844910408	0.0105658805133872
MSTRG.6206.4	99202	369	0.4739	-0.127844910408	0.0105651477577579
MSTRG.6206.5	15154	309	0.977	-0.0429109231617	0.151111297067069
MSTRG.6206.6	77540	369	0.4739	-0.127844910408	0.0174048696625585
MSTRG.6206.7	77527	369	0.4739	-0.127844910408	0.0174100649864447
MSTRG.6206.8	40734	369	0.4739	-0.127844910408	0.0401757759969096
MSTRG.6205.1	22302	543	0.6864	-0.332046556071	0.127097063071672
MSTRG.6205.2	21557	543	0.6864	-0.332046556071	0.129040789477478
MSTRG.6207.1	28408	390	0.8227	-0.339979968797	0.0496141991005365
MSTRG.6207.2	20802	390	0.8227	-0.339979968797	0.0586968586057723
MSTRG.6208.1	27701	795	1.0111	0.163697126507	0.916537404148334
MSTRG.6208.2	27659	795	1.0111	0.163697126507	0.916612440910035
MSTRG.6209.1	40074	1140	0.8738	0.352685349546	0.994024450548772
MSTRG.6209.2	40093	1140	0.8738	0.352685349546	0.994021813100246
MSTRG.6209.3	40107	1140	0.8738	0.352685349546	0.994019868976737
MSTRG.6209.4	39801	1140	0.8738	0.352685349546	0.994062219066351
MSTRG.6209.5	22441	1140	0.8738	0.352685349546	0.996034206057913
MSTRG.6209.6	32727	711	0.8145	0.000577147314691	0.654767100019946
MSTRG.6213.1	22151	348	0.6027	-0.289059275215	0.0352149206821095
MSTRG.6213.2	21607	348	0.6027	-0.289059275215	0.0356493146532853
MSTRG.6210.1	44249	444	0.4077	-0.333311363788	0.0246611938362607
MSTRG.6211.1	19459	396	0.4646	-0.261722114123	0.0453811746794186
MSTRG.6212.1	69197	765	0.7192	0.145429327573	0.643968019040454
MSTRG.6215.1	23249	876	0.8803	0.0558814894685	0.916879777843165
MSTRG.6215.2	2986	876	0.8803	0.0558814894685	0.946552535752596
MSTRG.6215.3	19807	384	0.6513	-0.108843427721	0.102598188309078
MSTRG.6214.1	8391	642	0.9032	0.126643488706	0.800770775903071
MSTRG.6214.2	3480	642	0.9032	0.126643488706	0.818447255472266
MSTRG.6219.1	16391	261	0.6068	0.124254485067	0.108494381183911
MSTRG.6218.1	17062	1899	1.2716	0.350412966483	0.99999292870989
MSTRG.6222.1	18077	369	0.4305	-0.267980093274	0.0356478260496715
MSTRG.6223.1	19692	297	0.7708	-0.104380018791	0.0722030614247715
MSTRG.6223.2	17607	282	0.946	0.235115739754	0.289255420083974
MSTRG.6224.1	62204	495	0.6854	-0.185747835508	0.0685441026459175
MSTRG.6220.1	23055	1587	0.8736	0.0841031556295	0.999518901151147
MSTRG.6221.1	10903	414	0.875	-0.203293932682	0.152607635553421
MSTRG.6225.1	1170	276	1.0946	0.114245864338	0.315166063321744
MSTRG.6238.3	132411	7248	0.7415	-0.289714395481	1
MSTRG.6238.4	190513	10275	0.4537	-0.0709352269213	1
MSTRG.6238.1	190891	10275	0.4537	-0.0709352269213	1
MSTRG.6238.2	190513	10275	0.4537	-0.0709352269213	1
MSTRG.6238.5	216097	10275	0.4537	-0.0709352269213	1
MSTRG.6238.7	129350	7248	0.7415	-0.289714395481	1
MSTRG.6238.6	215560	10275	0.4537	-0.0709352269213	1
MSTRG.6238.10	189701	10275	0.4537	-0.0709352269213	1
MSTRG.6238.11	215461	10275	0.4537	-0.0709352269213	1
MSTRG.6238.8	215461	10275	0.4537	-0.0709352269213	1
MSTRG.6238.9	215461	10275	0.4537	-0.0709352269213	1
MSTRG.6238.12	215369	10275	0.4537	-0.0709352269213	1
MSTRG.6238.14	189795	10275	0.4537	-0.0709352269213	1
MSTRG.6238.13	129042	7248	0.7415	-0.289714395481	1
MSTRG.6238.16	189758	10275	0.4537	-0.0709352269213	1
MSTRG.6238.15	129010	7248	0.7415	-0.289714395481	1
MSTRG.6238.17	128907	7248	0.7415	-0.289714395481	1
MSTRG.6238.18	189765	10275	0.4537	-0.0709352269213	1
MSTRG.6238.19	128808	7248	0.7415	-0.289714395481	1
MSTRG.6238.20	215719	10275	0.4537	-0.0709352269213	1
MSTRG.6238.21	127931	7248	0.7415	-0.289714395481	1
MSTRG.6238.22	128060	7248	0.7415	-0.289714395481	1
MSTRG.6238.23	71478	363	0.5083	-0.422786389016	0.00619988983252319
MSTRG.6238.24	73153	363	0.5083	-0.422786389016	0.00596335730307959
MSTRG.6226.1	729	198	0.4588	-0.270376924737	0.0165676129729499
MSTRG.6227.1	1851	372	0.7025	-0.078707931981	0.165575467218675
MSTRG.6228.1	1042	219	1.0501	0.0813478659778	0.197549848753335
MSTRG.6229.1	38750	495	0.4399	0.00681718731683	0.150518988609785
MSTRG.6229.2	36629	495	0.4399	0.00681718731683	0.156965769392042
MSTRG.6229.3	35361	495	0.4399	0.00681718731683	0.160926121690199
MSTRG.6229.4	20824	495	0.4399	0.00681718731683	0.21220239310851
MSTRG.6231.1	21398	327	0.6913	-0.223738677805	0.0468621807444753
MSTRG.6230.1	273	69	0.4878	-0.573235731066	0.00204939247822047
MSTRG.6232.1	994	318	0.7571	-0.0749152005852	0.133550346517145
MSTRG.6233.1	287402	10125	1.0723	-0.179093024885	1
MSTRG.6234.1	27524	240	0.5076	-0.382931054486	0.00835923441179683
MSTRG.6235.1	36665	357	0.4807	-0.508154198371	0.00894865619658864
MSTRG.6236.1	22783	1587	0.8736	0.0841031556295	0.999521947478036
MSTRG.6237.1	7722	414	0.875	-0.203293932682	0.162469068626732
MSTRG.6242.1	115692	570	0.6895	0.195738846688	0.147991597272836
MSTRG.6242.10	114921	570	0.6895	0.195738846688	0.150277440373511
MSTRG.6242.3	115265	570	0.6895	0.195738846688	0.149253986575046
MSTRG.6242.7	111965	570	0.6895	0.195738846688	0.159311385196222
MSTRG.6242.5	114992	570	0.6895	0.195738846688	0.150065732244799
MSTRG.6242.8	115199	570	0.6895	0.195738846688	0.149449900319377
MSTRG.6242.6	111965	570	0.6895	0.195738846688	0.159311385196222
MSTRG.6242.2	115265	570	0.6895	0.195738846688	0.149253986575046
MSTRG.6242.9	114326	570	0.6895	0.195738846688	0.15206128788177
MSTRG.6242.4	114971	570	0.6895	0.195738846688	0.150128324552195
MSTRG.6242.11	64848	459	0.5982	0.00114660333764	0.0887588307200998
MSTRG.6242.12	17213	345	0.9953	-0.0971696318486	0.154199590501499
MSTRG.6239.1	132332	549	0.764	-0.0768097080485	0.0367370819884823
MSTRG.6240.1	3254	1293	1.2286	0.552965230616	0.999807871170787
MSTRG.6243.1	23285	498	0.9714	0.291616345969	0.691107091306519
MSTRG.6243.2	23104	498	0.9714	0.291616345969	0.692009162041174
MSTRG.6243.3	23186	498	0.9714	0.291616345969	0.691600670201102
MSTRG.6241.1	6121	360	0.4091	-0.397632161646	0.0252526051219413
MSTRG.6245.1	32376	486	0.5552	-0.0539599457556	0.157013737938033
MSTRG.6245.2	36014	555	0.6457	-0.0180262234166	0.278388340526789
MSTRG.6245.3	10939	486	0.5552	-0.0539599457556	0.235097463014499
MSTRG.6244.1	430	135	0.921	-0.237279081096	0.0282954080492063
MSTRG.6255.1	76995	459	0.6808	-0.269637266616	0.0274866278790996
MSTRG.6255.2	77213	459	0.6808	-0.269637266616	0.0273508000218005
MSTRG.6255.3	74899	459	0.6808	-0.269637266616	0.028826450911296
MSTRG.6255.4	76906	459	0.6808	-0.269637266616	0.0275422687680852
MSTRG.6255.5	76877	459	0.6808	-0.269637266616	0.0275604225748475
MSTRG.6255.6	37974	459	0.6808	-0.269637266616	0.0657140254002704
MSTRG.6255.7	43636	459	0.6808	-0.269637266616	0.0580437861099085
MSTRG.6255.8	49543	456	0.6707	-0.0761063611657	0.102113774310725
MSTRG.6256.1	28295	456	0.6707	-0.0761063611657	0.157426453471533
MSTRG.6255.9	14348	306	0.672	-0.208431187632	0.0486755475519616
MSTRG.6246.1	751	162	0.567	-0.314518586315	0.0130845591586807
MSTRG.6247.1	1000	357	0.9193	0.239258632293	0.499380688499257
MSTRG.6248.1	1174	558	0.9493	0.01852821535	0.645032237680723
MSTRG.6257.3	76530	978	1.0109	-0.267689332149	0.692496808817117
MSTRG.6257.1	76537	978	1.0109	-0.267689332149	0.69246197995017
MSTRG.6257.2	76537	978	1.0109	-0.267689332149	0.69246197995017
MSTRG.6257.4	76293	978	1.0109	-0.267689332149	0.693674719028481
MSTRG.6257.5	21498	414	0.8241	-0.233182314128	0.10167942258635
MSTRG.6251.1	70561	549	0.3734	-0.36100669754	0.0238546395952166
MSTRG.6252.1	3677	1281	0.8407	0.0841350560593	0.997048440733029
MSTRG.6249.1	2563	309	0.723	-0.174076734521	0.0801455228067468
MSTRG.6250.1	1497	291	0.4537	-0.329883180036	0.0245257303435819
MSTRG.6254.1	18556	381	0.8227	-0.437039091521	0.0397655677363996
MSTRG.6253.1	22122	771	0.5891	-0.0339971711091	0.681414848676138
MSTRG.6261.1	139973	534	0.4643	-0.568889181505	0.00218806294148767
MSTRG.6258.1	1220	180	0.7602	-0.217610054033	0.0308075427125463
MSTRG.6259.1	17122	393	1.1027	0.17527662252	0.490028565953727
MSTRG.6260.1	100067	1263	1.289	0.511108933379	0.997575865289491
MSTRG.6260.2	2946	1263	1.289	0.511108933379	0.999748811755153
MSTRG.6265.1	570102	1419	0.5791	-0.114998005852	0.000445131696298305
MSTRG.6265.2	376548	1419	0.5791	-0.114998005852	0.0393783756084717
MSTRG.6266.1	78159	762	0.9044	-0.258778784547	0.279568879090419
